np,genus,maj_vote,logprobs,agreement,assoc_strength_mean,m,w,n
Lehrkraft,F,n,-15.358818386128405,1.0,0.0,0,0,33
Autorität,F,m,-0.6031261742302902,1.0,3.090909090909091,33,0,0
Hauptfigur,F,n,-6.363872222434111,1.0,0.0,0,0,33
Berühmtheit,F,n,-5.850161133432266,1.0,0.0,0,0,33
Fachkraft,F,n,-8.164082424696971,1.0,0.0,0,0,33
Kultfigur,F,n,-9.63323786993169,1.0,0.0,0,0,33
Begleitung,F,n,-4.5576688339624525,1.0,0.0,0,0,33
Assistenz,F,w,-21.017949647024466,1.0,3.0,0,33,0
Diva,F,w,-0.6488012298007106,1.0,4.242424242424242,0,33,0
Boss,M,m,-0.12370094103414431,1.0,3.393939393939394,33,0,0
Fuchs,M,n,-6.912122458967133,1.0,0.0,0,0,33
Jockey,M,m,-0.1925588990069258,1.0,3.0303030303030303,33,0,0
Junkie,M,m,-2.885389873170787,1.0,2.5757575757575757,33,0,0
Racker,M,m,-0.3419032922327787,1.0,2.515151515151515,33,0,0
Spaßvogel,M,m,-0.6988604747636984,1.0,3.0,33,0,0
Vormund,M,m,-2.4678240757494905,1.0,2.0,33,0,0
Vorstand,M,m,-0.07806620711696155,1.0,3.9696969696969697,33,0,0
Passagier,M,n,-4.113608013702105,1.0,0.0,0,0,33
Schatz,M,n,-11.339325386484234,1.0,0.0,0,0,33
Star,M,n,-18.415517725288737,1.0,0.0,0,0,33
Babysitter,M,w,-1.0227412599680292,1.0,4.03030303030303,0,33,0
Trotzkopf,M,n,-20.570855078656678,1.0,0.0,0,0,33
Mündel,N/M/F,n,-5.591058735781189,1.0,0.0,0,0,33
Balg,N/M,n,-8.251561460298035,1.0,0.0,0,0,33
Nesthäkchen,N,w,-0.691723618020319,1.0,3.696969696969697,0,33,0
Opfer,N,n,-4.379370314516564,1.0,0.0,0,0,33
Ferkel,N,n,-4.205786764610821,1.0,0.0,0,0,33
Jahrhunderttalent,N,m,-19.707399516199985,1.0,2.0606060606060606,33,0,0
